Rede,Seller_ID,Sites_Legitimos,Sites_Suspeitos
"smartadline.com","22887974830","ig.com.br","jornaldacidadeonline.com.br"
"smartadline.com","22915330089","ig.com.br","jornaldacidadeonline.com.br"
"smartadline.com","90643844","ig.com.br","jornaldacidadeonline.com.br"
"smartclip.net","10870","ig.com.br","jornaldacidadeonline.com.br"
"spotim.market","sp_browsi","ig.com.br","jornaldacidadeonline.com.br"
"target-video.com","184","ig.com.br","jornaldacidadeonline.com.br"
"target-video.com","210","ig.com.br","jornaldacidadeonline.com.br"
"themediagrid.com","DAQTOP","ig.com.br","jornaldacidadeonline.com.br"
"themediagrid.com","D9CE4A","ig.com.br","jornaldacidadeonline.com.br"
"themediagrid.com","HLDOIR","ig.com.br","jornaldacidadeonline.com.br"
"triplelift.com","10389","ig.com.br","jornaldacidadeonline.com.br"
"triplelift.com","10389-EB","ig.com.br","jornaldacidadeonline.com.br"
"triplelift.com","14190-EB","ig.com.br","jornaldacidadeonline.com.br"
"truvid.com","2076","ig.com.br","jornaldacidadeonline.com.br"
"truvidplayer.com","2076","ig.com.br","jornaldacidadeonline.com.br"
"vidoomy.com","57021","ig.com.br","jornaldacidadeonline.com.br"
"xapads.com","158389","ig.com.br","jornaldacidadeonline.com.br"
"xapads.com","193353","ig.com.br","jornaldacidadeonline.com.br"
"xapads.com","211793","ig.com.br","jornaldacidadeonline.com.br"
"yahoo.com","59988","ig.com.br","jornaldacidadeonline.com.br"
"yieldlab.net","6378054","ig.com.br","jornaldacidadeonline.com.br"
